Log Time;Windspeed (ref);RPM;Voltage In;Voltage L1;Voltage L2;Current out;Power out;Power reg;T1;T2;T3;Event count;Last event code;Turbine status;Grid status;System status
2022:08:16:00:05:42,537;0;0;22.9;131.0;132.3;0.16;0;0;20.2;19.9;18.2;13317;107;1;0;0
2022:08:16:00:06:03,861;0;0;22.9;130.8;132.3;0.16;0;0;20.2;19.9;18.2;13317;107;1;0;0
2022:08:16:00:12:20,154;0;0;22.9;131.0;132.1;0.16;0;0;20.1;19.8;18.1;13317;107;1;0;0
2022:08:16:00:14:53,495;0;0;23.0;131.2;132.4;0.16;0;0;20.0;19.8;18.1;13317;107;1;0;0
2022:08:16:00:15:01,317;0;0;23.0;131.2;132.9;0.16;0;0;20.0;19.8;18.1;13317;107;1;0;0
2022:08:16:00:18:52,170;0;0;23.0;131.2;132.9;0.16;0;0;20.0;19.7;18.0;13317;107;1;0;0
2022:08:16:00:19:47,738;0;0;23.0;131.2;132.4;0.16;0;0;20.0;19.7;18.0;13317;107;1;0;0
2022:08:16:00:20:00,340;0;0;23.0;131.2;132.4;0.14;0;0;20.0;19.7;18.0;13317;107;1;0;0
2022:08:16:00:21:12,371;0;0;23.0;131.5;132.7;0.16;0;0;20.0;19.7;18.0;13317;107;1;0;0
2022:08:16:00:22:01,237;0;0;23.0;131.5;132.9;0.16;0;0;20.0;19.7;18.0;13317;107;1;0;0
2022:08:16:00:23:26,849;0;0;23.0;131.5;132.7;0.16;0;0;19.9;19.6;17.9;13317;107;1;0;0
2022:08:16:00:24:08,255;0;0;23.0;131.5;132.9;0.16;0;0;19.9;19.6;17.9;13317;107;1;0;0
2022:08:16:00:25:22,925;0;0;23.0;131.7;133.3;0.16;0;0;19.9;19.6;17.9;13317;107;1;0;0
2022:08:16:00:26:04,253;0;0;23.0;131.5;132.9;0.16;0;0;19.9;19.6;17.9;13317;107;1;0;0
2022:08:16:00:27:00,480;0;0;23.0;131.5;132.7;0.16;0;0;19.9;19.6;17.9;13317;107;1;0;0
2022:08:16:00:35:59,489;0;0;23.0;131.5;132.7;0.16;0;0;19.8;19.5;17.8;13317;107;1;0;0
2022:08:16:00:36:01,830;0;0;23.0;131.5;132.9;0.16;0;0;19.8;19.5;17.8;13317;107;1;0;0
2022:08:16:00:37:19,289;0;0;23.0;131.5;133.2;0.16;0;0;19.7;19.5;17.8;13317;107;1;0;0
2022:08:16:00:38:01,779;0;0;23.0;131.7;133.0;0.16;0;0;19.7;19.4;17.8;13317;107;1;0;0
2022:08:16:00:39:01,754;0;0;23.0;131.7;133.0;0.16;0;0;19.7;19.4;17.8;13317;107;1;0;0
2022:08:16:00:40:42,947;0;0;23.0;131.7;133.0;0.14;0;0;19.7;19.4;17.7;13317;107;1;0;0
2022:08:16:00:41:01,010;0;0;23.0;131.7;133.3;0.14;0;0;19.7;19.4;17.7;13317;107;1;0;0
2022:08:16:00:42:34,743;0;0;23.0;131.9;133.3;0.16;0;0;19.7;19.4;17.7;13317;107;1;0;0
2022:08:16:00:43:05,468;0;0;23.0;131.7;133.3;0.14;0;0;19.7;19.4;17.7;13317;107;1;0;0
2022:08:16:00:44:09,016;0;0;23.0;131.7;133.0;0.16;0;0;19.7;19.4;17.7;13317;107;1;0;0
2022:08:16:00:45:01,224;0;0;23.0;131.7;133.3;0.16;0;0;19.6;19.4;17.7;13317;107;1;0;0
2022:08:16:00:47:31,106;0;0;23.0;131.9;133.1;0.16;0;0;19.6;19.4;17.6;13317;107;1;0;0
2022:08:16:00:48:07,091;0;0;23.0;131.9;133.1;0.16;0;0;19.6;19.4;17.6;13317;107;1;0;0
2022:08:16:00:49:08,679;0;0;23.0;131.9;133.3;0.16;0;0;19.6;19.4;17.6;13317;107;1;0;0
2022:08:16:00:50:02,567;0;0;23.0;131.9;133.3;0.16;0;0;19.6;19.4;17.6;13317;107;1;0;0
2022:08:16:00:51:39,160;0;0;23.0;132.1;133.6;0.16;0;0;19.5;19.3;17.5;13317;107;1;0;0
2022:08:16:00:52:00,744;0;0;23.0;132.1;133.6;0.16;0;0;19.5;19.3;17.5;13317;107;1;0;0
2022:08:16:00:53:01,053;0;0;23.0;132.1;133.9;0.16;0;0;19.5;19.3;17.5;13317;107;1;0;0
2022:08:16:00:54:01,701;0;0;23.0;130.6;131.7;0.16;0;0;19.5;19.3;17.5;13317;107;1;0;0
2022:08:16:00:55:00,910;0;0;22.8;130.6;131.9;0.16;0;0;19.5;19.3;17.5;13317;107;1;0;0
2022:08:16:00:56:00,158;0;0;22.8;130.6;131.7;0.16;0;0;19.5;19.3;17.5;13317;107;1;0;0
2022:08:16:00:57:03,507;0;0;22.8;130.6;131.9;0.16;0;0;19.5;19.3;17.5;13317;107;1;0;0
2022:08:16:00:58:01,176;0;0;22.8;130.4;131.7;0.16;0;0;19.5;19.3;17.5;13317;107;1;0;0
2022:08:16:00:59:00,804;0;0;22.8;130.6;131.9;0.16;0;0;19.5;19.3;17.4;13317;107;1;0;0
2022:08:16:01:00:08,793;0;0;22.8;130.6;131.9;0.16;0;0;19.4;19.3;17.4;13317;107;1;0;0
2022:08:16:01:01:00,361;0;0;22.8;130.8;132.3;0.16;0;0;19.4;19.3;17.4;13317;107;1;0;0
2022:08:16:01:02:03,230;0;0;22.8;130.6;131.7;0.16;0;0;19.4;19.2;17.4;13317;107;1;0;0
2022:08:16:01:03:01,478;0;0;22.8;130.4;131.7;0.16;0;0;19.4;19.2;17.4;13317;107;1;0;0
2022:08:16:01:04:01,947;0;0;22.8;130.6;131.9;0.16;0;0;19.4;19.2;17.4;13317;107;1;0;0
2022:08:16:01:05:01,195;0;0;22.8;130.6;131.9;0.16;0;0;19.4;19.2;17.3;13317;107;1;0;0
2022:08:16:01:06:00,084;0;0;22.8;130.8;132.1;0.16;0;0;19.4;19.2;17.3;13317;107;1;0;0
2022:08:16:01:07:27,638;0;0;22.8;130.6;131.9;0.16;0;0;19.4;19.1;17.3;13317;107;1;0;0
2022:08:16:01:08:00,761;0;0;22.8;130.8;131.7;0.16;0;0;19.4;19.1;17.3;13317;107;1;0;0
